scenario,step,Ta_cvx_raw,Ta_cvx_applied,Ta_snn_raw,Ta_snn_applied,control_diff_e_u,cvxpy_objective,cvxpy_status,snn_objective,snn_converged,snn_verified_converged,snn_convergence_reason,snn_convergence_reason_class,snn_kkt_residual,snn_kkt_tolerance,snn_projection_budget_exhausted,snn_relative_degree,snn_n_grad_rows_kept,snn_unactionable_predicted_violation_degC,snn_iterations,snn_max_iterations,snn_constraint_residual,snn_constraint_residual_scaled,snn_bound_violation,snn_clipped,cvxpy_clipped,objective_gap_snn_vs_reference,Tc1_cvx,Tc2_cvx,Tc3_cvx,alpha1_cvx,alpha2_cvx,alpha3_cvx,Tc1_snn,Tc2_snn,Tc3_snn,alpha1_snn,alpha2_snn,alpha3_snn,rho_Ap_cvx,rho_Ap_snn,qp_fingerprint_cvx,qp_fingerprint_snn,slew_saturated_cvx,slew_saturated_snn,build_ms_cvx,solve_ms_cvx,total_ms_cvx,build_ms_snn,solve_ms_snn,total_ms_snn
nominal_heatup,0,32.0,32.0,32.0,32.0,0.0,-95998.82400512494,optimal,-95995.60480396192,False,False,max_iterations,max_iterations,0.01313055188238663,0.07645254018157442,False,5,5,0.0,8000,8000,6.865136228384472e-07,9.949711854417842e-07,10.0,0,0,3.353375623490067e-05,28.0,28.0,28.0,1e-05,1e-05,1e-05,28.0,28.0,28.0,1e-05,1e-05,1e-05,1.0000008521941652,1.0000008521941652,2dff947584e37cd8,2dff947584e37cd8,True,True,2.232500002719462,8.50150000769645,10.734000010415912,2.278400002978742,363.85650001466274,366.1349000176415
nominal_heatup,1,36.0,36.0,36.0,36.0,0.0,-106602.11835414612,optimal,-106599.55482178649,True,True,converged(kkt(residual=9.46e-03<=tol=7.67e-02); obj_plateau(range=1.17e-10)),converged,0.009461928775984105,0.0767245418445375,False,5,5,0.0,351,8000,6.114478665608658e-07,8.86975977998361e-07,10.0,0,0,2.4047668088202733e-05,28.000000056399145,28.000000056399145,28.000000056399145,1.0001630922571259e-05,1.0001630922571259e-05,1.0001630922571259e-05,28.000000056399145,28.000000056399145,28.000000056399145,1.0001630922571259e-05,1.0001630922571259e-05,1.0001630922571259e-05,1.0000008522669996,1.0000008522669996,c625caa6b8e2e8f4,c625caa6b8e2e8f4,True,True,1.3099999923724681,5.333400011295453,6.643400003667921,1.8350000027567148,13.631200010422617,15.466200013179332
nominal_heatup,2,40.0,40.0,40.0,40.0,0.0,-117129.27118088401,optimal,-117127.3295911753,False,False,max_iterations,max_iterations,0.006558336307772783,0.0769651717983787,False,5,5,0.0,8000,8000,6.750023686663553e-07,9.791691546467973e-07,10.0,0,0,1.6576468795170985e-05,28.000000112803107,28.000000112803107,28.000000091841084,1.0003261984532805e-05,1.0003261984532805e-05,1.0003261984532805e-05,28.000000112803107,28.000000112803107,28.000000091841084,1.0003261984532805e-05,1.0003261984532805e-05,1.0003261984532805e-05,1.0000008523398338,1.0000008523398338,d809b50db00d9fe7,d809b50db00d9fe7,True,True,1.280700002098456,6.137799995485693,7.418499997584149,2.1606000082101673,323.9420999889262,326.10269999713637
nominal_heatup,3,44.0,44.0,44.0,44.0,0.0,-127560.7145561694,optimal,-127560.03202485747,True,True,converged(kkt(residual=2.13e-03<=tol=7.72e-02); obj_plateau(range=4.56e-16)),converged,0.002129028583334732,0.0771717920400987,False,5,5,0.0,501,8000,7.615793435888918e-07,9.623328613983517e-07,10.0,0,0,5.350638825661914e-06,28.00000016921189,28.00000016142088,28.000000128607986,1.0004893185885736e-05,1.0004893185885736e-05,1.0004893185878145e-05,28.00000016921189,28.00000016142088,28.000000128607986,1.0004893185885736e-05,1.0004893185885736e-05,1.0004893185878145e-05,1.000000852412668,1.000000852412668,f6b418e2ce9e1469,f6b418e2ce9e1469,True,True,1.432099990779534,6.463400000939146,7.89549999171868,1.683499984210357,17.729600018355995,19.413100002566352
nominal_heatup,4,48.0,48.0,48.0,48.0,0.0,-137877.66921696722,optimal,-137877.6503267312,True,True,converged(kkt(residual=1.07e-03<=tol=7.73e-02); obj_plateau(range=2.01e-08)),converged,0.0010711691966070285,0.07734236187885482,False,5,5,0.0,551,8000,5.533117857225989e-07,8.043588097805809e-07,10.0,0,0,1.3700721870182556e-07,28.00000021983408,28.000000208534534,28.00000016274716,1.0006524526631151e-05,1.0006524526628329e-05,1.0006524526608854e-05,28.00000021983408,28.000000208534534,28.00000016274716,1.0006524526631151e-05,1.0006524526628329e-05,1.0006524526608854e-05,1.000000852485502,1.000000852485502,ffd5fee53ada9566,ffd5fee53ada9566,True,True,1.2427999754436314,5.875700007891282,7.118499983334914,1.6924999945331365,18.978400010382757,20.670900004915893
nominal_heatup,5,52.0,52.0,52.0,52.0,0.0,-148066.0687411123,optimal,-148066.0464742435,True,True,converged(kkt(residual=2.82e-03<=tol=7.75e-02); obj_plateau(range=2.19e-08)),converged,0.002823883056173691,0.07747532436381872,False,5,5,0.0,501,8000,6.522267312902841e-07,9.45448449307662e-07,10.0,0,0,1.5038468307669126e-07,28.00000026785304,28.000000252134775,28.015534364180088,1.0008156006768049e-05,1.0008156006761134e-05,1.0008156006725072e-05,28.00000026785304,28.000000252134775,28.015534364180088,1.0008156006768049e-05,1.0008156006761134e-05,1.0008156006725072e-05,1.0000008535389835,1.0000008535389835,69a48d8a2773a3b9,69a48d8a2773a3b9,True,True,1.4853000175207853,5.837799981236458,7.323099998757243,1.293699984671548,16.387600015150383,17.68129999982193
nominal_heatup,6,56.0,56.0,56.0,56.0,0.0,-158106.71652818128,optimal,-158106.697659675,True,True,converged(kkt(residual=4.01e-03<=tol=7.76e-02); obj_plateau(range=1.77e-08)),converged,0.004007279020327481,0.07756951146797195,False,5,5,0.0,451,8000,6.325447259314387e-07,9.19042980385143e-07,10.0,0,0,1.1934032119204157e-07,28.000000312592185,28.00577391978186,28.057459750004423,1.000978762629658e-05,1.000978762628397e-05,1.0009793262776227e-05,28.000000312592185,28.00577391978186,28.057459750004423,1.000978762629658e-05,1.000978762628397e-05,1.0009793262776227e-05,1.0000008566302483,1.0000008566302483,ff8d739282d50479,ff8d739282d50479,True,True,1.2390000047162175,5.487299989908934,6.726299994625151,1.3509999844245613,15.662600024370477,17.013600008795038
nominal_heatup,7,60.0,60.0,60.0,60.0,0.0,-167979.73365905497,optimal,-167979.71126977514,True,True,converged(kkt(residual=5.72e-03<=tol=7.76e-02); obj_plateau(range=1.95e-08)),converged,0.005715923162980142,0.07762407336772807,False,5,5,0.0,301,8000,6.204440978763159e-07,9.01461598701303e-07,10.0,0,0,1.3328560088156034e-07,28.004292153377847,28.022838296226645,28.135109522234508,1.001141938521665e-05,1.0011421478125678e-05,1.0011445967490528e-05,28.004292153377847,28.022838296226645,28.135109522234508,1.001141938521665e-05,1.0011421478125678e-05,1.0011445967490528e-05,1.0000008630022164,1.0000008630022164,ec67dd0c19443881,ec67dd0c19443881,True,True,1.2732000031974167,5.27449999935925,6.547700002556667,1.6422999906353652,11.61580000189133,13.258099992526695
nominal_heatup,8,64.0,64.0,64.0,64.0,0.0,-177665.4000009005,optimal,-177664.62206776062,False,False,max_iterations,max_iterations,0.006731265540179127,0.07763842166301675,False,5,5,0.0,8000,8000,6.111416155363258e-07,8.879457302768401e-07,10.0,0,0,4.378641761041395e-06,28.01807839987666,28.057673407757182,28.254795432951447,1.0013052839181873e-05,1.0013061671269752e-05,1.0013127537634136e-05,28.01807839987666,28.057673407757182,28.254795432951447,1.0013052839181873e-05,1.0013061671269752e-05,1.0013127537634136e-05,1.0000008738881738,1.0000008738881738,490cda6d4683143d,490cda6d4683143d,True,True,1.6315999964717776,5.047399987233803,6.67899998370558,1.247100008185953,264.55550000537187,265.8026000135578
nominal_heatup,9,67.99999999999999,67.99999999999999,68.0,68.0,1.4210854715202004e-14,-187142.34151269242,optimal,-187135.54167295562,False,False,max_iterations,max_iterations,0.020657770230065185,0.07761218467420897,False,5,5,0.0,8000,8000,6.305568547304574e-07,9.140364349846664e-07,10.0,0,0,3.633512160797393e-05,28.047511223592842,28.11622195693027,28.42117301871507,1.0014691440074805e-05,1.0014714737108251e-05,1.0014854481868797e-05,28.047511223592842,28.11622195693027,28.42117301871507,1.0014691440074805e-05,1.0014714737108251e-05,1.0014854481868797e-05,1.0000008905547881,1.0000008905547881,f5eff710e3f6e1e3,f5eff710e3f6e1e3,True,True,2.671199996257201,6.275899999309331,8.947099995566532,1.2932999816257507,275.6429000000935,276.93619998171926
nominal_heatup,10,71.99999999999997,71.99999999999997,72.0,72.0,2.842170943040401e-14,-196384.77843366645,optimal,-196371.79536646046,False,False,max_iterations,max_iterations,0.0322680106289989,0.07754517109882873,False,5,5,0.0,8000,8000,6.510454682029376e-07,9.437361265796085e-07,10.0,0,0,6.61103539164274e-05,28.098587088330618,28.204026095810903,28.637444447596287,1.0016340922523065e-05,1.0016389563010768e-05,1.0016646422525322e-05,28.098587088330618,28.204026095810903,28.637444447596287,1.0016340922523065e-05,1.0016389563010768e-05,1.0016646422525322e-05,1.0000009143124624,1.0000009143124624,f4bd316394bce69d,f4bd316394bce69d,True,True,2.443999983370304,5.270599998766556,7.7145999821368605,1.277699979254976,238.90200001187623,240.1796999911312
nominal_heatup,11,75.99999999999996,75.99999999999996,76.0,76.0,4.263256414560601e-14,-205373.05636583164,optimal,-205353.13712272828,False,False,max_iterations,max_iterations,0.044681866846975754,0.077437340407211,False,5,5,0.0,8000,8000,5.271957377317449e-07,7.663932732882017e-07,10.0,0,0,9.699053739520188e-05,28.17696474743232,28.325927123648107,28.905878723964744,1.001800935059378e-05,1.0018097472067574e-05,1.0018526362451092e-05,28.17696474743232,28.325927123648107,28.905878723964744,1.001800935059378e-05,1.0018097472067574e-05,1.0018526362451092e-05,1.0000009465851527,1.0000009465851527,26f252582edd1021,26f252582edd1021,True,True,1.3209999888204038,5.792200012365356,7.11320000118576,1.3149000005796552,285.525699990103,286.8405999906827
nominal_heatup,12,79.99999999999994,79.99999999999994,80.0,80.0,5.684341886080802e-14,-214088.40650828427,optimal,-214063.13107200584,False,False,max_iterations,max_iterations,0.052332375088041075,0.07728877837544057,False,5,5,0.0,8000,8000,5.292319400496126e-07,7.548051019767854e-07,10.0,0,0,0.00011806074271284776,28.287695303581557,28.48611411336325,29.228022559149494,1.0019707186055292e-05,1.0019852307914455e-05,1.0020521334415317e-05,28.287695303581557,28.48611411336325,29.228022559149494,1.0019707186055292e-05,1.0019852307914455e-05,1.0020521334415317e-05,1.000000988985778,1.000000988985778,2c81db30a4bb22b4,2c81db30a4bb22b4,True,True,1.1650999949779361,4.5999000140000135,5.76500000897795,1.167299982625991,231.9224000093527,233.0896999919787
nominal_heatup,13,83.99999999999996,83.99999999999996,84.00000000000001,84.0,4.263256414560601e-14,-222512.4286454731,optimal,-222480.51993459422,False,False,max_iterations,max_iterations,0.06202510356984311,0.07709967677558853,False,5,5,0.0,8000,8000,5.2256444860177e-07,7.480033348272741e-07,10.0,0,0,0.00014340192623484146,28.435189073687383,28.68811443723295,29.60491107244096,1.0021447366458453e-05,1.0021670668093506e-05,1.002266335713411e-05,28.435189073687383,28.68811443723295,29.60491107244096,1.0021447366458453e-05,1.0021670668093506e-05,1.002266335713411e-05,1.0000010434153785,1.0000010434153785,e65ab9dfd8e36261,e65ab9dfd8e36261,True,True,1.2169000110588968,4.6904000046197325,5.907300015678629,1.1655999987851828,236.83650000020862,238.0020999989938
nominal_heatup,14,87.99999999999994,87.99999999999994,87.99999999999999,87.99999999999999,4.263256414560601e-14,-230627.10644297558,optimal,-230592.75653999174,True,True,converged(kkt(residual=6.28e-02<=tol=7.69e-02); obj_plateau(range=3.59e-12)),converged,0.06284742157755369,0.07687031640850747,False,5,5,0.0,201,8000,5.843702126639982e-07,8.495087904236698e-07,10.0,0,0,0.0001489413083906157,28.623200041918288,28.934857331659494,30.037186768688905,1.0023245495954168e-05,1.0023572281445382e-05,1.0024990765584491e-05,28.623200041918288,28.934857331659494,30.037186768688905,1.0023245495954168e-05,1.0023572281445382e-05,1.0024990765584491e-05,1.0000011121797336,1.0000011121797336,5c3dada42f494c80,5c3dada42f494c80,True,True,1.2193000002298504,4.983099992386997,6.202399992616847,1.1736000014934689,7.003400009125471,8.17700001061894
nominal_heatup,15,91.99999999999993,91.99999999999993,91.99999999999999,91.99999999999999,5.684341886080802e-14,-238414.81741380476,optimal,-238380.6350597686,True,True,converged(kkt(residual=5.92e-02<=tol=7.66e-02); obj_plateau(range=3.00e-12)),converged,0.05916822710439215,0.07660105289289544,False,5,5,0.0,201,8000,5.896290673490512e-07,8.164697193890902e-07,10.0,0,0,0.00014337344636181575,28.854869120086413,29.22872865371056,30.525195733226727,1.0025120171607514e-05,1.0025580580941484e-05,1.0027549973976509e-05,28.854869120086413,29.22872865371056,30.525195733226727,1.0025120171607514e-05,1.0025580580941484e-05,1.0027549973976509e-05,1.0000011981334345,1.0000011981334345,0f3ee33e6d52efef,0f3ee33e6d52efef,True,True,1.1447000142652541,4.576499981340021,5.721199995605275,1.1572999937925488,7.030900014797226,8.188200008589774
nominal_heatup,16,95.99999999999993,95.99999999999993,95.99999999999999,95.99999999999999,5.684341886080802e-14,-245858.33859190316,optimal,-245826.03206303006,True,True,converged(kkt(residual=5.32e-02<=tol=7.63e-02); obj_plateau(range=1.08e-12)),converged,0.05315918080376378,0.07629230473777615,False,5,5,0.0,201,8000,6.278478821286626e-07,8.693919655300419e-07,10.0,0,0,0.0001314030228069714,29.132775953652295,29.571636766375924,31.069051976588753,1.0027093488534011e-05,1.0027723503453636e-05,1.0030397793205575e-05,29.132775953652295,29.571636766375924,31.069051976588753,1.0027093488534011e-05,1.0027723503453636e-05,1.0030397793205575e-05,1.0000013048593073,1.0000013048593073,0b9f8f456b1cef0e,0b9f8f456b1cef0e,True,True,1.163299981271848,4.526200005784631,5.689499987056479,1.2055000115651637,6.922500004293397,8.12800001585856
nominal_heatup,17,99.99999999999993,99.99999999999993,99.99999999999999,99.99999999999999,5.684341886080802e-14,-252940.84878196247,optimal,-252907.01079877315,False,False,max_iterations,max_iterations,0.05326826557756159,0.0759445433296222,False,5,5,0.0,8000,8000,6.361106414942697e-07,8.808334941434737e-07,10.0,0,0,0.0001337782463863624,29.459001193484145,29.965072618383886,31.66868726952701,1.0029191757879237e-05,1.0030034571632905e-05,1.0033604465787608e-05,29.459001193484145,29.965072618383886,31.66868726952701,1.0029191757879237e-05,1.0030034571632905e-05,1.0033604465787608e-05,1.0000014368973875,1.0000014368973875,734bd2d1eb417da7,734bd2d1eb417da7,True,True,1.1559999838937074,4.82120001106523,5.977199994958937,1.1784000089392066,243.70550000458024,244.88390001351945
nominal_heatup,18,103.99999999999993,103.99999999999993,103.99999999999999,103.99999999999999,5.684341886080802e-14,-259645.92809471049,optimal,-259612.1820624324,True,True,converged(kkt(residual=5.09e-02<=tol=7.56e-02); obj_plateau(range=2.58e-13)),converged,0.05092638791288817,0.07555828453379654,False,5,5,0.0,201,8000,6.768046461047561e-07,9.810758436756828e-07,10.0,0,0,0.0001299694261559515,29.83518713825559,30.410166831002797,32.32388788410938,1.0031446486637145e-05,1.003255432719756e-05,1.0037257650833878e-05,29.83518713825559,30.410166831002797,32.32388788410938,1.0031446486637145e-05,1.003255432719756e-05,1.0037257650833878e-05,1.0000016000414043,1.0000016000414043,c57a447deba633b1,c57a447deba633b1,True,True,1.210599992191419,4.910500021651387,6.121100013842806,1.1901999823749065,7.106200006091967,8.296399988466874
nominal_heatup,19,107.99999999999994,107.99999999999994,107.99999999999999,107.99999999999999,4.263256414560601e-14,-265957.55535151646,optimal,-265928.5514953351,True,True,converged(kkt(residual=4.20e-02<=tol=7.51e-02); obj_plateau(range=2.99e-13)),converged,0.04199558836803634,0.07513408166643742,False,5,5,0.0,201,8000,6.510827148531462e-07,9.116204946479911e-07,10.0,0,0,0.00010905445473523043,30.26259573381852,30.907740544433675,33.03432342597463,1.0033895682563044e-05,1.0035332213742204e-05,1.0041467676231376e-05,30.26259573381852,30.907740544433675,33.03432342597463,1.0033895682563044e-05,1.0035332213742204e-05,1.0041467676231376e-05,1.0000018017276073,1.0000018017276073,d6935a4d57fdc5d4,d6935a4d57fdc5d4,True,True,1.2197000032756478,4.685599997173995,5.9053000004496425,1.1777000036090612,6.907500006491318,8.08520001010038
nominal_heatup,20,111.99999999999994,111.99999999999994,111.99999999999999,111.99999999999999,4.263256414560601e-14,-271860.1038329801,optimal,-271837.459974518,True,True,converged(kkt(residual=3.15e-02<=tol=7.47e-02); obj_plateau(range=3.00e-13)),converged,0.03152322187145396,0.0746725196353254,False,5,5,0.0,201,8000,6.837688744099069e-07,9.468268560297588e-07,10.0,0,0,8.329231889066706e-05,30.742161255455276,31.45835074073644,33.799569377951165,1.0036585572181912e-05,1.0038429042220354e-05,1.0046374493864521e-05,30.742161255455276,31.45835074073644,33.799569377951165,1.0036585572181912e-05,1.0038429042220354e-05,1.0046374493864521e-05,1.000002051549314,1.000002051549314,857027a74eaa6b83,857027a74eaa6b83,True,True,1.2055000115651637,4.798299982212484,6.003799993777648,1.1740000045392662,6.9691999815404415,8.143199986079708
nominal_heatup,21,115.99999999999996,115.99999999999996,115.99999999999999,115.99999999999999,2.842170943040401e-14,-277338.3357562195,optimal,-277322.4097101143,False,False,max_iterations,max_iterations,0.02136268562861171,0.07417421008288368,False,5,5,0.0,8000,8000,7.106024355607587e-07,9.839836936365032e-07,10.0,0,0,5.742461121326382e-05,31.274537519628144,32.06232983559645,34.619125239305966,1.0039572851893256e-05,1.0041920221372836e-05,1.0052156935043224e-05,31.274537519628144,32.06232983559645,34.619125239305966,1.0039572851893256e-05,1.0041920221372836e-05,1.0052156935043224e-05,1.000002361942879,1.000002361942879,2e7906eeca422a63,2e7906eeca422a63,True,True,1.1697000009007752,4.720099997939542,5.889799998840317,1.1602999875321984,231.68739999528043,232.84769998281263
nominal_heatup,22,119.99999999999996,119.99999999999996,120.0,119.99999999999999,2.842170943040401e-14,-282249.26060176594,optimal,-282197.0763839434,False,False,max_iterations,max_iterations,0.06976883828142798,0.07363978739219358,False,5,5,0.0,8000,8000,6.560766223628889e-07,9.55763558074807e-07,10.0,0,0,0.0001848869956695825,31.860139431473698,32.71982012895055,35.492429218553006,1.0042927636276365e-05,1.0045900001126806e-05,1.0059045087611502e-05,31.860139431473698,32.71982012895055,35.492429218553006,1.0042927636276365e-05,1.0045900001126806e-05,1.0059045087611502e-05,1.0000027491075865,1.0000027491075865,b44b4f7bd6f28b46,b44b4f7bd6f28b46,True,True,1.6326999757438898,4.84040001174435,6.47309998748824,1.1881999962497503,205.32539999112487,206.51359998737462
nominal_heatup,23,123.99999999999997,123.99999999999997,124.0000004330801,123.99999999999999,1.4210854715202004e-14,-285922.71963817347,optimal,-285869.86301016615,False,False,max_iterations,max_iterations,0.07005100531542736,0.07306990543981288,False,5,5,0.0,8000,8000,6.280502589106618e-07,9.073958553429406e-07,10.0,0,0,0.00018486333675827568,32.499179256904526,33.43080354993059,36.418870302862096,1.0046737327042226e-05,1.0050487067028725e-05,1.0067336928314506e-05,32.499179256904526,33.43080354993059,36.4188703028621,1.0046737327042226e-05,1.0050487067028725e-05,1.0067336928314506e-05,1.0000032342458494,1.0000032342458494,949823b715d589cd,949823b715d589cd,True,True,1.2484999897424132,4.737600014777854,5.986100004520267,1.1858000070787966,162.7821999718435,163.9679999789223
nominal_heatup,24,127.99999999999997,127.99999999999997,127.99999999999997,127.99999999999997,0.0,-287335.8756926245,optimal,-287286.219136647,False,False,max_iterations,max_iterations,0.06552642881908058,0.0724652349980616,False,5,5,0.0,8000,8000,6.228404885177952e-07,8.99869019299615e-07,10.0,0,0,0.00017281711118661392,33.19169804282029,34.19512725832241,37.397798234444124,1.005111170702066e-05,1.0055831947088486e-05,1.0077420781319361e-05,33.19169804282029,34.195127258322415,37.39779823444413,1.005111170702066e-05,1.0055831947088486e-05,1.0077420781319361e-05,1.0000038452434135,1.0000038452434135,741bd084326d10b1,741bd084326d10b1,True,True,1.2724999978672713,4.681500024162233,5.954000022029504,1.2704000109806657,139.6729999978561,140.94340000883676
nominal_heatup,25,130.0,130.0,130.0,130.0,0.0,-285421.34361368243,optimal,-285377.56691740005,False,False,max_iterations,max_iterations,0.057657870715883706,0.07182646170509674,False,5,5,0.0,8000,8000,5.973794969804658e-07,8.630835965917072e-07,10.0,0,0,0.00015337569267991552,33.93759271203294,35.01252560136735,38.42853181431628,1.005618967429849e-05,1.0062126862556018e-05,1.0089805789359043e-05,33.937592712032945,35.01252560136736,38.42853181431629,1.005618967429849e-05,1.0062126862556018e-05,1.0089805789359043e-05,1.0000046189564815,1.000004618956481,fc3b5ac021805915,fc3b5ac021805915,False,False,1.251100009540096,4.745200014440343,5.996300023980439,1.2067999923601747,138.99459998356178,140.20139997592196
nominal_heatup,26,130.0,130.0,130.0,130.0,0.0,-281039.45613230206,optimal,-281001.29474642174,False,False,max_iterations,max_iterations,0.050257745858787506,0.07100872565768025,False,5,5,0.0,8000,8000,5.907820366246597e-07,8.251905798672965e-07,10.0,0,0,0.00013578657746338255,34.73663933886756,35.88263890591761,39.51036584016605,1.0062148184087887e-05,1.0069618889944927e-05,1.0105163455459045e-05,34.73663933886757,35.88263890591762,39.51036584016606,1.0062148184087887e-05,1.0069618889944927e-05,1.0105163455459045e-05,1.0000056043396808,1.000005604339681,e5980b92603c97c8,e5980b92603c97c8,False,False,1.3775000115856528,4.960199992638081,6.337700004223734,1.1944000143557787,141.1262999754399,142.32069998979568
nominal_heatup,27,130.0,130.0,130.0,130.0,0.0,-276121.9701329737,optimal,-276086.8455933054,False,False,max_iterations,max_iterations,0.04632589416462514,0.07002782566253117,False,5,5,0.0,8000,8000,6.886175754061696e-07,9.98919578165669e-07,10.0,0,0,0.00012720660964171378,35.588513092118,36.80502953120534,40.64257692132613,1.0069214176848358e-05,1.007862763007317e-05,1.0124384554526784e-05,35.588513092118006,36.80502953120535,40.64257692132614,1.0069214176848358e-05,1.007862763007317e-05,1.0124384554526784e-05,1.0000068667446973,1.0000068667446973,55c41df516218fce,55c41df516218fce,False,False,1.2064999900758266,4.640500003006309,5.846999993082136,1.1962999997194856,144.16719999280758,145.36349999252707
nominal_heatup,28,130.0,130.0,130.0,130.0,0.0,-271205.59466745873,optimal,-271172.8413230776,False,False,max_iterations,max_iterations,0.04329331366787285,0.06904684436760199,False,5,5,0.0,8000,8000,5.629278376773073e-07,8.133082873840181e-07,10.0,0,0,0.0001207694274198668,36.49280528639047,37.779195562592335,41.82442836075675,1.00776805645182e-05,1.0089569039656567e-05,1.0148657494724979e-05,36.49280528639048,37.77919556259234,41.824428360756755,1.00776805645182e-05,1.0089569039656569e-05,1.0148657494724979e-05,1.0000084938573894,1.0000084938573894,23ea22a2e480351b,23ea22a2e480351b,False,False,1.3562999956775457,5.369900027289987,6.726200022967532,1.2743000115733594,141.9539999915287,143.22830000310205
nominal_heatup,29,130.0,130.0,130.0,130.0,0.0,-266303.80327160936,optimal,-266272.99317817076,False,False,max_iterations,max_iterations,0.040847768945857975,0.06806870209385167,False,5,5,0.0,8000,8000,5.667615994298103e-07,8.188474511783284e-07,10.0,0,0,0.00011569528132941508,37.44903793778677,38.804582478445084,43.05517425772096,1.008792775660128e-05,1.0102987727945596e-05,1.0179576783908196e-05,37.44903793778678,38.80458247844509,43.055174257720964,1.008792775660128e-05,1.0102987727945598e-05,1.0179576783908196e-05,1.000010603941939,1.000010603941939,fd22a99e5d500abb,fd22a99e5d500abb,False,False,1.3211999903433025,5.238799989456311,6.559999979799613,1.2095999845769256,140.9898000129033,142.1993999974802
