scenario,step,Ta_cvx_raw,Ta_cvx_applied,Ta_snn_raw,Ta_snn_applied,control_diff_e_u,cvxpy_objective,cvxpy_status,snn_objective,snn_converged,snn_verified_converged,snn_iterations,snn_max_iterations,snn_constraint_residual,snn_constraint_residual_scaled,snn_bound_violation,snn_clipped,cvxpy_clipped,objective_gap_snn_vs_reference,Tc1_cvx,Tc2_cvx,Tc3_cvx,alpha1_cvx,alpha2_cvx,alpha3_cvx,Tc1_snn,Tc2_snn,Tc3_snn,alpha1_snn,alpha2_snn,alpha3_snn,rho_Ap_cvx,rho_Ap_snn,qp_fingerprint_cvx,qp_fingerprint_snn,slew_saturated_cvx,slew_saturated_snn
nominal_heatup,0,31.999999999999996,31.999999999999996,32.0,32.0,3.552713678800501e-15,-2198585.5400207387,optimal,-3156453.626663844,False,False,8000,8000,11.93596257930119,18.24541865154171,10.502894604128544,0,0,,28.0,28.0,28.0,1e-05,1e-05,1e-05,28.0,28.0,28.0,1e-05,1e-05,1e-05,1.0000008521941652,1.0000008521941652,c943bc3a67b5fa9d,c943bc3a67b5fa9d,True,True
nominal_heatup,1,36.0,36.0,41.11260573560642,36.0,0.0,-2379544.5573612694,optimal,-3329162.620553523,False,False,8000,8000,6.326806756315889,11.572124508882155,10.735043590191477,1,0,,28.000000056399145,28.000000056399145,28.000000056399145,1.0001630922571259e-05,1.0001630922571259e-05,1.0001630922571259e-05,28.000000056399145,28.000000056399145,28.000000056399145,1.0001630922571259e-05,1.0001630922571259e-05,1.0001630922571259e-05,1.0000008522669996,1.0000008522669996,831ca011373ab83a,831ca011373ab83a,True,True
nominal_heatup,2,40.0,40.0,44.24763426675883,40.0,0.0,-2557999.5068418547,optimal,-3478550.2726065577,False,False,8000,8000,9.496255559251487,14.80956836294278,10.25810934548705,1,0,,28.000000112803107,28.000000112803107,28.000000091841084,1.0003261984532805e-05,1.0003261984532805e-05,1.0003261984532805e-05,28.000000112803107,28.000000112803107,28.000000091841084,1.0003261984532805e-05,1.0003261984532805e-05,1.0003261984532805e-05,1.0000008523398338,1.0000008523398338,212c54f4398d5019,212c54f4398d5019,True,True
nominal_heatup,3,44.0,44.0,43.99999999999999,43.99999999999999,-7.105427357601002e-15,-2733615.558104433,optimal,-3569103.5492431135,False,False,8000,8000,10.159064888900915,16.17490355996123,10.502894604128551,0,0,,28.00000016921189,28.00000016142088,28.000000128607986,1.0004893185885736e-05,1.0004893185885736e-05,1.0004893185878145e-05,28.00000016921189,28.00000016142088,28.000000128607986,1.0004893185885736e-05,1.0004893185885736e-05,1.0004893185878145e-05,1.000000852412668,1.000000852412668,efbb3484c1da58e3,efbb3484c1da58e3,True,True
nominal_heatup,4,48.0,48.0,52.314249131339665,47.99999999999999,-7.105427357601002e-15,-2906059.851470105,optimal,-3682950.9016206427,False,False,8000,8000,8.977884304461043,13.723673868102699,10.502894604128553,1,0,,28.00000021983408,28.000000208534534,28.00000016274716,1.0006524526631151e-05,1.0006524526628329e-05,1.0006524526608854e-05,28.00000021983408,28.000000208534534,28.00000016274716,1.0006524526631151e-05,1.0006524526628329e-05,1.0006524526608854e-05,1.000000852485502,1.000000852485502,d36920b10683f4f8,d36920b10683f4f8,True,True
nominal_heatup,5,52.0,52.0,52.000000000000014,51.99999999999999,-7.105427357601002e-15,-3075002.7437421586,optimal,-3783449.9032534305,False,False,8000,8000,7.137799196257433,11.044023519925325,10.502894604128585,0,0,,28.00000026785304,28.000000252134775,28.015534364180088,1.0008156006768049e-05,1.0008156006761134e-05,1.0008156006725072e-05,28.00000026785304,28.000000252134775,28.015534364180088,1.0008156006768049e-05,1.0008156006761134e-05,1.0008156006725072e-05,1.0000008535389835,1.0000008535389835,9300261e3235a71e,9300261e3235a71e,True,True
nominal_heatup,6,55.99999999999999,55.99999999999999,55.99999999999999,55.99999999999999,0.0,-3240118.7683481663,optimal,-3875176.2349380204,False,False,8000,8000,4.480099215309835,6.732800758633291,10.0,0,0,,28.000000312592185,28.00577391978186,28.057459750004423,1.000978762629658e-05,1.000978762628397e-05,1.0009793262776227e-05,28.000000312592185,28.00577391978186,28.057459750004423,1.000978762629658e-05,1.000978762628397e-05,1.0009793262776227e-05,1.0000008566302483,1.0000008566302483,1c770da0a09e78ca,1c770da0a09e78ca,True,True
nominal_heatup,7,60.0,60.0,63.231303630697774,59.99999999999999,-7.105427357601002e-15,-3401087.3747966266,optimal,-4047868.3549803123,False,False,8000,8000,4.0820763076172,7.313892343505671,10.258109345487219,1,0,,28.004292153377847,28.022838296226645,28.135109522234508,1.001141938521665e-05,1.0011421478125678e-05,1.0011445967490528e-05,28.004292153377847,28.022838296226645,28.135109522234508,1.001141938521665e-05,1.0011421478125678e-05,1.0011445967490528e-05,1.0000008630022164,1.0000008630022164,e21fc477e21d5728,e21fc477e21d5728,True,True
nominal_heatup,8,64.0,64.0,66.92800279429905,63.99999999999999,-7.105427357601002e-15,-3557593.4863152155,optimal,-4132993.046530257,False,False,8000,8000,3.732656375465581,6.627386240709626,10.25810934548739,1,0,,28.01807839987666,28.057673407757182,28.254795432951447,1.0013052839181873e-05,1.0013061671269752e-05,1.0013127537634136e-05,28.01807839987666,28.057673407757182,28.254795432951447,1.0013052839181873e-05,1.0013061671269752e-05,1.0013127537634136e-05,1.0000008738881738,1.0000008738881738,c5d779c0c5bed409,c5d779c0c5bed409,True,True
nominal_heatup,9,68.0,68.0,70.5679697321931,68.0,0.0,-3709327.9124762886,optimal,-4198576.407985257,False,False,8000,8000,5.814354404820222,9.067582325525649,10.258109345487656,1,0,,28.047511223592842,28.11622195693027,28.42117301871507,1.0014691440074805e-05,1.0014714737108251e-05,1.0014854481868797e-05,28.047511223592842,28.11622195693027,28.42117301871507,1.0014691440074805e-05,1.0014714737108251e-05,1.0014854481868797e-05,1.0000008905547881,1.0000008905547881,76ea93fab5821a5e,76ea93fab5821a5e,True,True
nominal_heatup,10,72.0,72.0,72.0,72.0,0.0,-3855987.643942374,optimal,-4260262.602095406,False,False,8000,8000,5.722200143191699,8.665110035983755,10.258109345488032,0,0,,28.098587088330618,28.204026095810903,28.637444447596287,1.0016340922523065e-05,1.0016389563010768e-05,1.0016646422525322e-05,28.098587088330618,28.204026095810903,28.637444447596287,1.0016340922523065e-05,1.0016389563010768e-05,1.0016646422525322e-05,1.0000009143124624,1.0000009143124624,4ee42d8440631cb0,4ee42d8440631cb0,True,True
nominal_heatup,11,76.0,76.0,78.27957373970747,76.0,0.0,-3997276.052680686,optimal,-4356814.863508398,False,False,8000,8000,4.3873222359736985,6.772936399644815,10.258109345488544,1,0,,28.17696474743232,28.325927123648107,28.905878723964744,1.001800935059378e-05,1.0018097472067574e-05,1.0018526362451092e-05,28.17696474743232,28.325927123648107,28.905878723964744,1.001800935059378e-05,1.0018097472067574e-05,1.0018526362451092e-05,1.0000009465851527,1.0000009465851527,d240bb8e1699e64e,d240bb8e1699e64e,True,True
nominal_heatup,12,79.99999999999999,79.99999999999999,81.71129597080629,80.0,1.4210854715202004e-14,-4132774.880872062,optimal,-4430281.119811031,False,False,8000,8000,2.918129793697858,3.87343188593141,10.258109345489215,1,0,,28.287695303581557,28.48611411336325,29.228022559149494,1.0019707186055292e-05,1.0019852307914455e-05,1.0020521334415317e-05,28.287695303581557,28.48611411336325,29.228022559149494,1.0019707186055292e-05,1.0019852307914455e-05,1.0020521334415317e-05,1.000000988985778,1.000000988985778,f59aec26847d0c82,f59aec26847d0c82,True,True
nominal_heatup,13,83.99999999999999,83.99999999999999,85.84616583856567,84.0,1.4210854715202004e-14,-4261544.896129359,optimal,-4498648.850695296,False,False,8000,8000,1.8953111535698355,4.1787030135170085,10.0,1,0,,28.435189073687383,28.68811443723295,29.60491107244096,1.0021447366458453e-05,1.0021670668093506e-05,1.002266335713411e-05,28.435189073687383,28.68811443723295,29.60491107244096,1.0021447366458453e-05,1.0021670668093506e-05,1.002266335713411e-05,1.0000010434153785,1.0000010434153785,74c50006b0937e26,74c50006b0937e26,True,True
nominal_heatup,14,87.99999999999999,87.99999999999999,88.00000000000001,88.0,1.4210854715202004e-14,-4382300.404325929,optimal,-4563579.081645824,False,False,8000,8000,2.395448542282878,3.8139483980897424,10.0,0,0,,28.623200041918288,28.934857331659494,30.037186768688905,1.0023245495954168e-05,1.0023572281445382e-05,1.0024990765584491e-05,28.623200041918288,28.934857331659494,30.037186768688905,1.0023245495954168e-05,1.0023572281445382e-05,1.0024990765584491e-05,1.0000011121797336,1.0000011121797336,3dcfda09eeb46bd4,3dcfda09eeb46bd4,True,True
